business_id,business_category,business_age_months,data_confidence_level,history_start_month,monthly_revenue_m1,ussd_transaction_count_m1,mobile_money_frequency_m1,airtime_topup_regularity_m1,card_payment_volume_m1,settlement_consistency_m1,refund_rate_m1,monthly_revenue_m2,ussd_transaction_count_m2,mobile_money_frequency_m2,airtime_topup_regularity_m2,card_payment_volume_m2,settlement_consistency_m2,refund_rate_m2,monthly_revenue_m3,ussd_transaction_count_m3,mobile_money_frequency_m3,airtime_topup_regularity_m3,card_payment_volume_m3,settlement_consistency_m3,refund_rate_m3,monthly_revenue_m4,ussd_transaction_count_m4,mobile_money_frequency_m4,airtime_topup_regularity_m4,card_payment_volume_m4,settlement_consistency_m4,refund_rate_m4,monthly_revenue_m5,ussd_transaction_count_m5,mobile_money_frequency_m5,airtime_topup_regularity_m5,card_payment_volume_m5,settlement_consistency_m5,refund_rate_m5,monthly_revenue_m6,ussd_transaction_count_m6,mobile_money_frequency_m6,airtime_topup_regularity_m6,card_payment_volume_m6,settlement_consistency_m6,refund_rate_m6
NG-SME-02983,retail,43,high,8,488838.75,161,197,0.792,8,2.7,1.89,390683.0,165,172,0.761,6,3.6,2.77,479842.02,167,240,0.822,8,2.9,2.57,576467.88,205,238,0.737,8,3.8,2.91,643216.98,257,301,0.824,8,2.7,2.12,421922.4,167,198,0.755,6,2.0,0.59
NG-SME-02984,services,39,high,9,986414.85,213,136,0.286,45,0.7,2.54,1060631.35,318,157,0.569,43,1.0,3.51,1228658.69,333,188,0.332,33,0.5,2.82,1472075.7,416,197,0.441,42,0.7,2.09,911700.07,310,139,0.615,25,0.6,3.37,1234218.46,302,136,0.63,42,0.8,4.28
NG-SME-02985,food,9,medium,2,424878.36,359,43,0.668,19,0.6,2.22,616461.91,334,31,0.784,18,1.3,2.1,556788.25,419,43,0.576,11,2.0,1.53,457688.37,350,32,0.41,11,1.0,1.2,607540.53,486,51,0.518,24,0.5,0.43,556952.24,449,51,0.647,19,0.5,1.79
NG-SME-02986,retail,36,high,2,526923.68,132,237,0.697,4,2.2,2.55,526354.61,134,218,0.941,5,2.0,2.91,527794.42,123,208,0.667,4,1.1,1.86,402216.51,134,222,0.748,2,1.8,1.3,590805.78,166,260,0.877,4,1.8,2.02,675232.97,155,250,0.633,5,1.8,3.15
NG-SME-02987,services,48,high,7,1058014.63,375,301,0.402,14,3.7,4.07,964139.02,239,198,0.306,18,2.5,1.68,808485.56,312,228,0.626,18,3.3,2.72,1092009.67,305,196,0.601,26,3.0,1.66,1263026.84,261,282,0.502,24,3.6,2.79,1376795.23,385,250,0.298,29,2.2,3.59
NG-SME-02988,services,62,high,4,749550.07,355,245,0.403,20,2.2,3.42,753619.85,268,273,0.611,20,2.5,3.95,897014.58,358,300,0.371,25,2.3,3.14,1083267.38,366,285,0.333,23,1.7,3.42,816814.79,254,292,0.446,20,2.1,4.81,755647.71,226,290,0.486,16,1.8,3.31
NG-SME-02989,transport,17,high,4,436846.66,310,152,0.831,26,2.8,1.63,455442.03,269,139,0.912,24,1.8,1.47,510883.09,410,195,0.789,22,2.3,1.19,583593.73,454,203,1.0,16,2.6,1.53,436701.66,318,159,0.767,19,1.3,0.56,351503.7,296,148,0.764,13,2.2,1.03
NG-SME-02990,food,32,high,3,725216.38,289,50,0.679,29,1.9,1.84,654252.01,333,41,0.882,32,1.0,1.45,525797.74,355,53,0.689,24,1.6,0.9,663083.63,467,65,0.507,28,1.0,2.47,634356.71,296,62,0.656,38,0.7,1.95,583911.95,410,41,0.69,23,1.1,3.78
NG-SME-02991,retail,29,high,6,394408.52,114,54,0.901,33,0.6,2.65,482230.52,146,45,0.554,34,0.6,3.29,335224.0,118,37,0.709,45,0.8,3.49,327062.92,93,32,0.7,39,0.5,3.01,359630.81,123,37,0.713,33,1.6,2.87,334445.64,95,43,0.698,49,1.6,1.95
NG-SME-02992,transport,29,high,6,958942.77,226,45,1.0,42,0.5,2.14,781668.9,174,58,0.901,35,1.4,0.89,678131.71,171,32,0.78,43,1.2,1.24,763038.75,143,35,0.832,33,0.8,1.29,703231.64,232,38,0.831,38,0.7,1.29,852826.09,225,57,0.949,59,1.8,2.79
NG-SME-02993,retail,6,medium,10,549751.46,256,148,0.883,28,1.9,1.96,533973.9,298,248,0.793,38,0.5,1.79,733103.27,316,237,0.795,24,1.0,1.76,471724.98,168,177,0.69,14,1.6,2.09,599386.05,251,196,0.748,33,1.3,3.46,548954.59,232,247,0.822,16,0.8,2.73
NG-SME-02994,services,32,high,10,497521.82,249,99,0.516,22,1.3,3.29,726009.9,250,119,0.517,36,1.6,3.12,608126.72,259,145,0.518,19,1.7,2.63,432873.15,166,63,0.629,28,1.3,2.97,496559.71,216,86,0.388,32,0.8,1.42,585450.63,225,86,0.56,29,1.2,3.9
NG-SME-02995,food,52,high,11,467844.09,248,235,0.535,28,1.5,1.08,389251.85,290,259,0.694,35,2.1,2.45,360521.73,217,183,0.582,29,2.2,0.49,421627.5,236,222,0.695,30,2.1,1.96,528227.7,214,186,0.721,28,2.2,2.13,480250.24,321,230,0.677,33,1.1,1.97
NG-SME-02996,retail,12,high,12,780794.22,303,85,0.777,46,1.6,1.48,470736.92,193,71,0.789,27,1.0,2.85,693424.79,167,59,0.614,43,1.0,0.83,621225.34,152,71,0.738,39,1.7,3.08,705285.99,209,81,0.645,43,1.9,2.98,710641.25,185,74,0.901,30,1.0,2.86
NG-SME-02997,food,144,high,1,238893.52,229,69,0.723,23,1.2,0.17,324170.34,238,91,0.449,44,0.7,1.9,297669.88,361,90,0.699,39,1.5,2.84,329971.61,279,90,0.687,50,1.3,2.57,353120.03,352,74,0.733,26,1.1,1.48,353531.31,416,97,0.579,31,0.5,2.49
NG-SME-02998,transport,84,high,11,504891.6,120,183,0.953,23,0.5,3.04,582956.05,119,183,0.861,24,1.3,0.55,527727.73,89,157,0.883,13,1.0,0.49,572766.51,139,196,0.999,16,1.3,1.67,510332.55,132,178,0.783,15,0.8,1.26,555095.35,129,192,0.913,17,1.3,1.35
NG-SME-02999,transport,36,high,11,530453.06,498,270,0.934,46,1.5,0.81,752044.46,580,237,0.977,30,2.3,1.83,416890.13,344,126,0.848,20,2.1,1.43,463695.86,381,188,0.804,30,2.4,1.89,598937.95,416,189,0.734,36,1.6,1.04,575002.98,536,228,0.851,20,2.1,0.37
NG-SME-03000,retail,101,high,2,670756.11,190,182,0.606,24,0.7,3.0,811291.92,251,139,0.853,26,1.1,1.1,873058.49,197,231,0.668,31,1.0,1.17,702523.55,200,213,0.78,26,0.8,2.3,896647.56,294,225,0.733,25,0.5,2.86,829885.85,326,279,0.784,33,1.9,3.39
NG-SME-03001,services,99,high,12,600099.69,343,190,0.569,2,2.4,2.24,413572.48,224,93,0.427,1,3.7,3.75,415353.85,295,132,0.403,2,3.4,2.42,509605.8,354,166,0.373,1,1.9,2.08,487721.52,327,149,0.495,2,3.9,2.65,507473.72,222,112,0.492,1,2.9,3.92
NG-SME-03002,transport,17,high,1,221983.04,135,98,0.879,14,1.2,2.05,225746.05,153,146,0.935,11,0.6,2.88,223319.02,136,143,0.894,17,0.5,0.0,213945.61,112,174,1.0,20,1.3,2.04,209130.41,146,115,0.765,14,1.1,3.66,264048.79,183,205,0.737,21,0.8,1.2
NG-SME-03003,retail,43,high,9,759271.63,360,168,0.775,2,0.8,2.11,852246.22,298,232,0.784,3,1.1,2.43,771879.71,486,193,0.717,3,1.1,0.27,1136965.38,545,292,0.779,2,2.1,2.59,681034.81,306,179,0.871,2,2.0,3.17,912210.37,351,193,0.752,2,1.5,2.37
NG-SME-03004,retail,20,high,12,958218.26,113,98,0.779,41,1.3,3.05,645152.1,82,46,0.766,28,0.6,2.11,758941.29,91,55,0.642,37,0.5,1.5,817946.0,95,61,0.586,42,0.9,3.59,779192.15,111,85,0.939,41,1.4,2.3,812570.09,85,83,0.753,27,1.0,3.49
NG-SME-03005,food,11,medium,7,738787.45,116,106,0.606,16,1.8,0.58,433765.56,88,81,0.589,7,1.2,1.53,378978.63,66,69,0.561,8,1.8,2.45,570584.2,75,72,0.632,9,1.8,2.13,531227.41,86,71,0.742,12,2.2,2.47,550967.53,100,98,0.742,13,1.8,0.57
NG-SME-03006,retail,17,high,8,377883.08,348,148,0.655,19,0.6,0.7,387540.35,216,159,0.787,37,0.9,3.43,379300.98,216,155,0.685,23,1.1,2.02,391363.35,336,209,0.7,37,1.7,3.44,537838.52,248,183,0.628,50,1.0,2.51,309481.88,275,98,0.723,33,1.2,2.41
NG-SME-03007,retail,28,high,4,895742.1,134,44,0.676,4,0.7,3.18,851329.77,116,45,0.841,5,1.8,2.18,936860.69,112,66,0.668,6,1.8,2.7,1053606.41,184,62,0.774,4,1.8,3.46,839028.52,116,44,0.807,4,2.3,2.88,663661.53,107,48,0.884,5,1.7,4.19
NG-SME-03008,transport,16,high,10,704365.13,363,215,0.808,17,0.5,1.52,745750.85,432,177,0.713,19,0.7,0.97,926924.91,547,245,0.921,21,0.9,1.65,492939.24,294,154,0.711,10,0.7,1.25,633376.8,254,190,0.928,15,2.0,0.14,742856.69,348,202,0.706,16,0.7,1.55
NG-SME-03009,retail,50,high,12,490527.01,517,175,0.79,26,2.3,2.24,405614.43,315,88,0.899,15,2.1,2.34,522227.47,307,104,0.594,17,1.9,2.44,416100.72,374,116,0.803,22,2.4,2.67,504988.86,405,128,0.637,15,1.9,3.56,475338.95,330,132,0.687,17,1.4,1.93
NG-SME-03010,food,40,high,8,476764.18,142,70,0.539,12,1.0,1.66,394439.65,130,71,0.68,9,1.4,1.04,484714.78,115,64,0.509,13,0.5,0.53,490392.25,153,79,0.783,16,1.1,2.59,548673.01,207,78,0.729,21,1.4,1.34,359030.63,114,73,0.869,11,1.1,2.11
NG-SME-03011,services,28,high,3,1246339.24,274,216,0.432,35,2.0,4.27,1242498.0,272,208,0.443,46,1.3,2.46,1183574.32,239,163,0.258,32,1.4,2.06,1380162.28,337,204,0.383,47,1.1,3.28,1367959.8,317,264,0.457,47,1.3,4.32,1083509.09,233,162,0.436,33,0.5,3.14
NG-SME-03012,retail,60,high,11,902975.81,93,222,0.746,36,2.0,2.03,801846.9,159,218,0.704,21,1.6,1.89,613712.37,107,154,0.805,24,2.7,2.45,718895.75,61,193,0.758,20,3.0,1.92,817741.41,115,177,0.816,12,2.3,0.6,862109.85,106,183,0.785,28,1.9,1.86
NG-SME-03013,food,29,high,10,212884.4,154,37,0.565,9,0.8,1.27,225023.98,168,33,0.615,9,0.8,1.74,287987.7,193,61,0.822,15,1.7,2.62,187868.32,126,38,0.658,8,0.5,2.77,194203.89,190,37,0.532,12,1.4,0.49,210732.85,161,42,0.593,12,1.0,0.54
NG-SME-03014,retail,43,high,9,364836.25,220,164,0.865,9,1.2,2.38,493950.69,243,173,0.74,7,1.4,2.97,504877.47,240,193,0.732,10,0.5,1.41,487062.38,210,243,0.833,14,1.4,3.14,353847.84,152,166,0.794,10,0.8,2.04,339576.69,187,194,0.503,11,0.5,3.54
NG-SME-03015,services,21,high,8,536858.69,282,182,0.29,4,1.0,3.18,454625.6,244,123,0.418,3,1.2,3.62,581289.65,324,163,0.428,5,0.5,2.66,628802.45,314,163,0.419,4,1.2,2.64,709738.49,403,183,0.419,4,0.8,2.21,456550.45,254,118,0.433,3,1.2,1.79
NG-SME-03016,services,25,high,7,714305.51,300,239,0.391,7,1.4,3.68,605269.38,225,182,0.52,6,1.4,4.85,578962.71,202,155,0.252,3,1.2,3.31,547831.21,188,169,0.356,5,1.4,2.06,625627.11,233,176,0.42,6,0.7,2.92,831912.54,322,185,0.501,8,2.0,3.39
NG-SME-03017,food,21,high,1,288814.25,54,49,0.537,12,1.5,3.53,280849.27,81,44,0.546,22,1.2,1.8,307283.33,87,41,0.745,15,1.1,1.05,359581.07,95,66,0.656,30,0.8,1.51,282332.27,84,53,0.719,18,1.6,1.17,372448.04,107,72,0.758,21,2.1,1.1
NG-SME-03018,food,19,high,9,494605.16,187,110,0.613,31,0.7,2.36,583762.18,249,103,0.655,49,0.5,2.23,641612.71,221,143,0.548,44,0.5,1.83,744943.8,246,159,0.584,44,1.0,1.62,480675.66,193,75,0.62,38,1.3,2.67,527099.5,181,113,0.613,28,1.0,0.99
NG-SME-03019,food,21,high,5,604821.38,297,164,0.543,17,0.7,2.49,602205.93,407,173,0.394,22,1.4,2.7,781380.51,496,192,0.631,22,1.3,2.53,595736.61,380,135,0.556,16,1.0,1.94,557144.6,310,158,0.673,15,1.1,2.46,573877.04,362,172,0.585,14,1.7,2.59
NG-SME-03020,food,47,high,7,466680.83,137,177,0.641,13,0.5,0.53,339194.07,114,186,0.589,15,1.0,2.46,270576.47,86,156,0.89,11,0.7,3.47,313435.02,106,117,0.601,12,0.7,2.46,432214.8,116,216,0.792,23,1.1,2.62,422409.51,168,240,0.603,24,1.0,1.3
NG-SME-03021,retail,14,high,10,275492.74,148,240,0.969,2,0.7,2.92,298249.19,177,277,0.719,2,2.2,2.59,277986.27,250,256,0.616,2,1.5,2.29,197856.35,123,192,0.767,1,0.5,2.33,246060.52,135,210,0.712,1,0.5,2.59,266451.57,215,237,0.666,2,0.8,2.16
NG-SME-03022,services,26,high,2,657739.62,118,174,0.529,30,2.0,4.63,824480.21,132,168,0.27,28,1.1,1.96,605351.83,144,176,0.543,44,0.7,2.77,561009.28,133,133,0.637,21,1.4,3.63,771751.36,172,197,0.468,33,0.8,3.19,699253.29,172,206,0.366,24,1.1,3.02
NG-SME-03023,transport,6,medium,6,688886.97,304,341,0.938,46,0.7,1.85,685989.51,290,241,0.825,23,1.5,1.74,498655.82,172,221,0.955,18,0.5,0.44,589779.52,191,194,0.889,20,0.5,0.76,644356.77,198,211,0.946,22,0.8,1.75,677307.95,259,324,0.784,29,0.7,1.32
NG-SME-03024,food,12,high,12,780624.55,284,47,0.585,31,0.9,3.09,486108.75,209,34,0.72,17,1.1,1.8,547820.21,191,46,0.55,20,1.9,2.31,567671.58,263,40,0.659,23,0.8,1.99,676693.16,295,55,0.816,25,1.6,1.9,627945.44,249,41,0.659,10,0.5,2.37
NG-SME-03025,retail,25,high,1,545485.69,157,167,0.692,45,3.5,1.15,585823.81,207,259,0.813,39,3.7,1.74,721687.86,197,212,0.996,36,2.9,0.97,778372.0,234,249,0.781,51,3.4,1.33,613481.9,188,211,0.787,30,3.0,3.08,873952.54,263,222,0.643,47,2.7,1.8
NG-SME-03026,retail,19,high,10,313478.63,183,112,0.71,22,1.5,2.07,369094.1,200,138,0.656,20,1.4,1.61,394478.48,172,150,0.887,34,1.0,2.67,244426.12,150,80,0.927,18,0.5,2.44,293529.55,203,98,0.744,22,0.9,3.65,279064.09,173,99,0.77,31,0.9,2.27
NG-SME-03027,retail,98,high,2,870205.27,183,125,0.76,31,1.3,3.88,831689.6,195,147,0.771,31,2.2,3.18,933646.48,201,103,0.773,41,0.5,2.98,788706.41,171,117,0.808,38,1.2,2.27,925032.94,238,128,0.763,38,1.1,3.36,930890.12,311,130,0.836,38,1.4,1.5
NG-SME-03028,retail,79,high,11,872235.53,142,67,0.805,33,1.8,3.86,1006134.62,173,76,0.738,32,2.1,2.18,605329.27,101,42,0.696,25,2.5,1.95,706889.04,136,41,0.735,28,2.1,2.08,752232.42,151,50,0.84,31,1.9,3.28,984189.56,173,64,0.759,22,2.5,3.01
NG-SME-03029,retail,50,high,7,458546.87,300,147,0.639,12,0.8,0.85,452829.76,241,101,0.755,11,1.0,2.63,412457.34,215,87,0.928,10,0.7,2.65,415235.14,172,115,0.764,12,1.2,3.64,539956.81,242,158,0.501,9,1.6,3.59,506676.23,266,116,0.582,9,1.2,2.65
NG-SME-03030,services,32,high,7,986597.13,409,75,0.554,16,3.0,3.59,746805.02,373,78,0.458,15,3.1,2.4,687434.63,273,65,0.482,12,2.5,3.01,867518.87,313,75,0.543,14,4.0,3.59,973183.85,330,84,0.384,22,2.9,1.9,938840.28,373,86,0.614,25,2.4,2.6
NG-SME-03031,retail,58,high,4,928340.28,128,140,0.628,31,0.9,2.7,813167.01,108,142,0.644,36,2.1,2.14,1100366.99,149,176,0.946,49,1.5,1.92,1163575.53,179,166,0.835,40,0.6,2.52,849508.41,101,151,0.743,34,1.6,1.74,847979.22,104,139,0.75,30,0.7,1.84
NG-SME-03032,retail,33,high,3,705917.25,328,191,0.69,30,1.5,1.45,873332.13,554,204,0.636,41,2.3,3.45,693796.49,395,181,0.832,19,1.6,3.55,988868.74,380,225,0.659,39,2.2,3.16,964694.42,576,205,0.525,28,2.3,0.91,787367.47,416,215,0.729,27,2.0,2.36
NG-SME-03033,transport,11,medium,11,690247.4,228,226,0.89,8,3.2,1.61,798446.5,280,266,0.879,9,2.5,0.19,487952.21,193,152,0.822,8,2.4,1.52,614417.93,212,168,0.76,6,2.8,1.63,696771.15,191,224,0.771,10,3.7,2.09,526330.02,196,212,0.926,11,2.0,1.88
NG-SME-03034,services,54,high,2,817344.93,289,58,0.487,7,0.5,3.84,838321.19,382,68,0.406,6,1.0,3.15,921175.43,291,72,0.371,8,0.7,4.13,745332.75,297,59,0.426,8,1.7,2.84,945555.1,381,73,0.622,8,0.9,3.82,1069274.33,432,68,0.522,7,1.0,3.03
NG-SME-03035,retail,64,high,11,631422.79,325,139,0.548,36,1.6,3.33,660919.65,399,153,0.533,37,0.8,1.29,452371.4,299,77,0.638,40,1.0,3.92,537628.59,440,113,0.792,38,1.2,2.32,594637.02,313,133,0.718,43,1.0,2.64,617789.88,363,98,0.739,48,0.6,1.7
NG-SME-03036,food,31,high,5,576871.27,253,107,0.744,16,0.5,1.56,667786.67,272,195,0.642,19,1.1,1.37,739736.25,396,180,0.599,15,1.4,1.92,541513.36,264,130,0.603,17,0.7,1.02,521805.42,186,135,0.586,17,1.7,3.33,546960.49,261,130,0.69,17,1.5,2.11
NG-SME-03037,retail,31,high,4,975156.17,196,165,0.84,2,0.7,3.54,724305.21,160,128,0.741,2,0.5,2.29,894959.33,191,203,0.759,1,1.1,2.86,964966.87,159,129,0.721,1,0.9,2.95,719270.6,176,152,0.943,3,1.5,3.29,684760.05,136,141,0.721,1,0.9,4.58
NG-SME-03038,food,151,high,10,378792.68,261,91,0.404,11,0.5,1.96,402610.39,331,94,0.75,10,1.3,1.85,455467.16,389,124,0.815,15,1.1,2.02,244819.58,244,80,0.665,11,0.5,1.41,361373.8,224,107,0.644,9,2.1,2.81,331702.47,294,116,0.798,11,1.2,1.77
NG-SME-03039,services,23,high,5,417165.04,197,55,0.488,25,1.0,2.77,543574.89,242,71,0.577,44,0.7,3.66,655405.14,234,85,0.436,48,0.9,2.16,453779.53,165,56,0.416,32,1.3,3.08,367333.23,161,51,0.377,26,1.8,4.96,420795.59,201,77,0.371,40,0.9,1.6
NG-SME-03040,retail,20,high,9,360863.49,148,148,0.633,18,2.8,2.57,455770.12,191,195,0.772,27,3.4,3.36,536156.79,211,209,0.665,19,3.2,3.78,476773.59,268,283,0.787,27,4.2,0.7,373475.14,190,180,0.734,22,2.4,2.94,435123.72,187,206,0.867,20,3.1,3.81
NG-SME-03041,services,26,high,12,939893.25,516,131,0.486,16,1.3,3.99,673002.69,298,59,0.459,13,2.0,1.97,893668.93,382,107,0.421,15,1.4,3.1,734007.24,484,109,0.272,13,1.0,4.13,916098.29,491,88,0.546,17,0.8,2.34,769071.76,483,103,0.623,10,1.0,2.8
NG-SME-03042,retail,22,high,3,558703.15,222,105,0.725,22,1.9,1.85,690535.82,142,136,0.701,28,1.8,1.55,545279.32,179,85,0.933,35,2.2,1.46,727525.96,225,107,0.809,40,2.4,1.97,850357.5,205,137,0.649,33,2.0,4.12,564363.47,152,87,0.854,24,1.0,2.68
NG-SME-03043,retail,15,high,6,992370.69,326,222,0.681,4,0.8,2.77,1070751.6,448,268,0.691,4,1.1,2.27,748384.38,314,187,0.801,4,0.5,2.65,625037.55,345,169,0.786,2,1.2,2.92,724399.87,354,143,0.746,4,1.1,2.86,979247.93,316,270,0.775,5,0.7,3.11
NG-SME-03044,services,92,high,3,573671.19,152,82,0.549,4,0.5,2.74,584780.36,154,62,0.413,4,1.1,4.14,614932.89,118,84,0.553,3,1.0,3.42,664173.38,154,81,0.415,4,1.6,3.79,771948.21,168,92,0.313,5,1.5,3.03,524729.99,133,60,0.518,4,0.6,1.88
NG-SME-03045,retail,25,high,8,712020.49,136,104,0.726,8,2.4,1.87,637660.66,125,79,0.611,18,3.3,1.6,771360.54,150,124,0.911,22,2.1,1.82,1017573.86,162,71,0.908,22,2.2,3.07,1265758.85,165,119,0.688,17,3.3,2.39,823542.49,101,81,0.56,15,3.1,1.04
NG-SME-03046,transport,27,high,5,586417.29,275,223,0.952,24,0.5,1.29,864445.37,319,289,0.893,32,1.2,2.3,793123.25,357,273,0.981,40,1.3,0.77,700621.28,222,188,0.797,18,0.5,2.38,737610.36,281,221,0.793,22,0.7,1.11,819499.97,319,210,0.656,30,0.7,0.39
NG-SME-03047,transport,25,high,7,392853.73,463,118,0.867,37,2.6,0.48,247797.39,366,86,1.0,30,2.8,1.13,240123.91,373,77,0.969,18,2.8,1.79,317459.84,423,83,0.763,31,2.8,1.18,363132.05,485,90,0.786,26,2.6,1.09,366247.62,491,101,0.806,31,3.2,0.7
NG-SME-03048,transport,38,high,11,232807.53,113,111,1.0,41,1.7,0.87,287567.69,131,146,1.0,49,1.6,2.25,200131.87,81,91,0.86,26,2.0,0.38,222463.18,107,96,0.804,45,2.0,1.81,239887.14,122,84,0.833,49,2.0,2.0,245133.27,87,102,0.885,46,1.8,0.51
NG-SME-03049,food,12,high,9,232662.97,257,123,0.713,21,1.5,0.95,251990.71,235,139,0.666,14,1.3,1.77,300241.69,292,154,0.562,20,1.2,0.32,393454.39,368,155,0.522,33,0.5,2.28,215402.05,218,112,0.635,18,1.6,2.29,207853.7,221,131,0.5,21,0.9,3.0
NG-SME-03050,food,58,high,4,307732.79,203,93,0.66,6,0.8,1.02,279810.57,239,80,0.679,8,1.0,2.35,283548.32,249,120,0.556,5,0.6,1.23,345497.24,246,148,0.861,9,0.9,1.44,216727.87,167,86,0.499,8,0.9,1.97,248741.4,164,72,0.581,6,1.8,2.61
NG-SME-03051,retail,90,high,6,1020230.68,370,137,0.758,6,1.4,1.98,1082661.79,304,128,0.656,7,1.2,2.56,922596.16,247,128,0.738,5,1.6,1.78,598013.3,242,103,0.856,5,0.6,2.39,727057.69,193,115,0.765,6,1.7,2.19,1004977.58,301,163,0.751,7,1.0,2.01
NG-SME-03052,food,24,high,12,301619.04,198,325,0.427,15,4.2,1.43,185124.44,178,188,0.548,12,3.6,2.02,239940.74,168,212,0.684,14,3.4,2.73,301874.25,218,202,0.68,11,3.0,2.03,299906.6,246,249,0.688,11,2.1,2.53,270878.68,162,168,0.715,14,3.9,0.83
NG-SME-03053,services,19,high,5,287518.94,89,93,0.488,3,1.4,5.19,409112.52,121,140,0.519,3,1.4,3.29,428894.07,113,103,0.534,5,1.3,2.52,355592.73,100,110,0.516,4,1.0,2.29,266599.1,85,97,0.602,4,0.7,2.7,311467.16,96,106,0.487,2,0.5,2.68
NG-SME-03054,services,100,high,12,1394985.66,130,62,0.506,4,1.3,2.74,957916.5,79,59,0.521,3,1.9,3.43,1084507.02,101,79,0.432,4,2.7,3.47,1152382.9,121,81,0.308,5,2.1,3.16,1237081.73,134,89,0.404,3,2.4,2.36,1065410.09,80,68,0.213,3,1.3,2.49
NG-SME-03055,food,7,medium,8,170919.35,129,101,0.528,7,0.7,2.45,139831.68,141,90,0.67,11,1.8,1.68,131632.37,121,105,0.766,8,0.6,1.96,176519.87,156,95,0.622,16,1.2,0.0,209548.13,148,150,0.687,13,1.0,2.73,118181.63,105,65,0.559,15,1.4,2.17
NG-SME-03056,services,34,high,8,610386.65,368,140,0.489,6,1.6,3.7,449079.13,331,115,0.467,3,1.4,2.1,549049.44,316,152,0.436,6,2.1,3.82,585008.43,410,131,0.36,7,2.1,2.9,708954.7,488,202,0.599,9,1.1,3.22,484452.94,247,138,0.344,4,1.6,2.67
NG-SME-03057,services,159,high,9,594068.89,301,242,0.47,18,2.6,2.03,733604.21,367,263,0.38,20,2.8,4.09,818810.42,310,256,0.716,31,2.1,3.4,930239.59,567,243,0.604,27,2.2,3.1,721476.36,298,208,0.361,17,2.5,2.61,688575.21,389,203,0.432,24,2.6,3.37
NG-SME-03058,food,13,high,5,239028.28,164,88,0.564,20,3.3,1.38,302843.19,236,73,0.552,23,2.9,1.09,338557.52,225,98,0.692,25,3.9,2.94,228530.92,211,80,0.696,28,3.4,1.66,186832.6,186,43,0.712,16,3.2,2.15,265608.75,183,58,0.517,20,3.0,3.3
NG-SME-03059,services,15,high,11,1031451.15,180,90,0.303,10,2.3,3.57,1104594.88,166,76,0.349,14,2.2,5.95,752198.91,106,49,0.548,6,2.3,3.97,751628.92,159,73,0.68,10,1.9,4.35,727489.33,133,65,0.679,7,1.8,3.28,891857.53,136,74,0.616,10,2.6,2.8
NG-SME-03060,food,14,high,7,347810.73,268,211,0.652,25,0.8,1.29,228024.66,234,202,0.728,20,1.4,1.25,264415.4,200,126,0.701,14,2.1,1.85,221044.75,200,182,0.74,22,0.8,2.75,295181.65,343,208,0.557,20,1.0,1.92,382870.68,310,209,0.8,22,0.8,1.66
NG-SME-03061,retail,6,medium,12,937261.6,473,235,0.636,27,3.3,3.47,664347.44,295,183,0.764,18,2.3,3.32,755892.31,272,247,0.697,26,2.9,1.22,726288.6,406,196,0.509,29,3.4,0.38,670323.3,344,198,0.717,33,3.4,2.33,1012245.67,314,189,0.622,27,2.8,1.7
NG-SME-03062,retail,172,high,5,388588.04,263,104,0.738,18,0.7,1.8,350706.51,290,139,0.719,21,1.4,1.88,360081.51,263,102,0.816,16,1.0,1.7,334874.17,203,105,0.746,21,0.8,1.79,342179.87,211,88,0.631,15,1.1,3.24,376643.84,232,113,0.778,17,1.6,2.84
NG-SME-03063,food,3,low,1,144765.07,231,82,0.623,34,1.4,1.07,138608.21,208,94,0.791,32,2.0,2.37,187790.52,251,105,0.641,38,1.9,1.54,162905.67,256,135,0.963,39,2.0,1.07,154209.17,190,102,0.832,27,1.4,0.41,217075.59,209,132,0.666,47,2.3,1.5
NG-SME-03064,retail,29,high,12,583748.61,407,89,0.617,13,1.5,2.33,370631.24,220,88,0.717,10,1.9,1.28,446708.4,314,82,0.982,12,1.0,3.11,407712.08,302,96,0.886,18,0.5,0.54,417998.96,285,77,0.742,8,1.5,1.25,449934.88,287,59,0.685,11,0.9,3.3
NG-SME-03065,food,54,high,11,271002.2,344,63,0.648,44,0.7,3.06,255840.86,483,61,0.613,39,1.6,1.18,219274.68,345,33,0.766,21,0.5,1.31,254819.2,382,43,0.581,26,0.5,1.62,274599.08,340,43,0.572,52,0.9,2.05,306473.79,410,47,0.592,36,0.5,1.06
NG-SME-03066,retail,52,high,7,589210.51,252,104,0.791,34,3.0,2.32,472686.81,260,79,0.7,22,3.7,2.68,401084.37,266,86,0.798,29,3.2,0.97,533312.21,325,104,0.759,34,3.4,2.64,647121.06,241,108,0.879,41,3.0,1.99,585034.53,242,83,0.762,34,3.7,2.27
NG-SME-03067,retail,34,high,11,778402.44,331,90,0.881,7,0.7,1.97,1032554.48,412,150,0.656,12,1.2,2.19,591992.74,285,101,0.625,4,1.4,2.04,784048.08,334,128,0.6,6,0.5,2.23,654376.27,330,126,0.833,8,1.6,2.36,846908.65,368,127,0.677,8,1.5,1.74
NG-SME-03068,transport,44,high,5,401400.97,364,218,0.833,31,2.9,1.7,558290.27,442,200,0.845,56,2.1,1.83,539107.53,496,255,0.737,53,3.1,1.78,448716.95,292,212,0.747,38,2.9,2.11,397597.55,299,204,0.835,30,2.8,1.24,448345.41,317,247,0.764,41,3.2,1.15
